documento,chunk_id,chunk_len,pca_x,pca_y
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,133,999,-0.06232439,0.05906585
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,134,999,0.013838061,0.23565145
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,135,1000,-0.010341628,-0.17707275
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,136,1000,0.048172235,-0.33820957
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,137,999,0.100310884,-0.36850724
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,138,1000,0.06708472,-0.43291023
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,139,1000,0.31585512,-0.40334082
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,140,1000,0.14790887,-0.443986
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,141,1000,0.0520298,-0.29369143
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,142,1000,-0.011870621,-0.18732023
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,143,999,0.17361967,-0.38361812
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,144,1000,0.15613757,-0.3428781
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,145,1000,0.042013034,-0.22683491
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,146,1000,-0.050386265,-0.016686715
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,147,999,-0.042265072,-0.033558015
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,148,998,0.0528091,-0.20167407
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,149,999,0.1787598,-0.2504935
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,150,999,0.11026085,-0.2713337
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,151,1000,0.15648758,-0.26821554
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,152,1000,0.18655255,-0.31941915
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,153,1000,0.08896686,-0.31516936
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,154,1000,0.109067015,-0.44860783
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,155,1000,0.1784319,-0.37413567
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,156,1000,0.11184336,-0.33823204
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,157,998,0.19585888,-0.27856484
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,158,1000,0.25018397,-0.3504899
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,159,1000,0.08186225,-0.3975946
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,160,998,0.08683888,-0.23403925
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,161,1000,0.35836658,-0.027248386
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,162,999,0.06536108,-0.1150103
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,163,1000,-0.110993996,-0.03477006
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,164,999,-0.058558594,-0.1118985
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,165,1000,-0.12491073,-0.120593086
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,166,1000,-0.1511356,-0.068344
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,167,1000,-0.14941068,-0.05315326
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,168,999,-0.21142825,-0.08345428
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,169,999,-0.062069606,-0.01675434
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,170,998,0.06709153,-0.095059626
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,171,999,-0.11441912,-0.046357647
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,172,1000,-0.14931662,-0.02728158
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,173,1000,0.021471167,-0.15912291
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,174,999,0.10475463,-0.19810198
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,175,1000,-0.07959773,-0.083484925
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,176,998,-0.059651725,-0.056368366
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,177,1000,0.037149727,-0.1340859
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,178,1000,0.14194733,-0.2885198
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,179,1000,0.20945539,-0.3896708
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,180,1000,0.09353437,-0.40452683
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,181,1000,0.10593016,-0.3363658
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,182,1000,0.18765241,-0.47519013
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,183,1000,0.040067665,-0.3218707
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,184,999,0.0892968,-0.26400006
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,185,1000,0.11674938,-0.28727096
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,186,1000,0.24114424,-0.29207078
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,187,1000,0.24844423,-0.36796433
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,188,1000,0.118466645,-0.28877616
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,189,999,0.24888726,-0.3332426
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,190,1000,0.16894878,-0.31567124
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,191,1000,0.014164427,-0.2953206
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,192,998,0.15447824,-0.4360576
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,193,1000,0.07632584,-0.35371214
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,194,1000,0.22608456,-0.25258356
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,195,999,0.2296827,-0.19237398
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,196,999,0.19987418,-0.32436764
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,197,999,0.15340254,-0.28432453
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,198,1000,0.17034449,-0.14321668
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,199,999,0.042501837,-0.3424007
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,200,1000,-0.008364904,-0.13439752
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,201,1000,0.045436345,-0.2223843
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,202,1000,0.24087629,0.034797393
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,203,1000,0.057317186,-0.31849122
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,204,999,0.07702343,-0.2749121
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,205,999,0.12798382,-0.27310827
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,206,1000,0.1223937,-0.27863213
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,207,999,0.011252664,-0.2624051
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,208,999,0.27117628,-0.15279166
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,209,1000,0.15333948,-0.2918932
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,210,1000,0.18363991,-0.16495714
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,211,999,0.1119643,-0.21924582
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,212,1000,0.15331125,-0.20792581
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,213,999,0.17763202,-0.19029886
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,214,999,0.15291868,-0.27106854
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,215,1000,0.034092087,-0.29701114
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,216,1000,0.14067878,-0.3463558
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,217,1000,0.111633755,-0.22469221
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,218,1000,0.3079159,-0.24552083
